id	int
IBD_1	sysname
RECORD_ID_1	sysname
TRADE_DATE	sysname
TRADE_REFERENCE_NUMBER	sysname
PERSHING_OFFICE_NUMBER	sysname
ACCOUNT_NUMBER	sysname
ACCOUNT_NAME	sysname
BUY_SELL_INDICATOR	sysname
CANCEL_INDICATOR	sysname
CAPS_SOURCE	sysname
TRADE_QUANTITY	numeric
PRICE	numeric
PRODUCT_CODE	sysname
CUSIP_NUMBER_OF_SECURITY_TRADED	sysname
ACCOUNT_SHORT_NAME	sysname
ORDER_TYPE	sysname
MISCELLANEOUS_FEE	numeric
NOT_USED_1	sysname
IBD_2	sysname
RECORD_ID_2	sysname
MARKET_CODE	sysname
BLOTTER_CODE	sysname
SECURITY_TYPE	sysname
STOCK_SYMBOL	sysname
SECURITY_DESCRIPTION	sysname
CENTS_PER_SHARE	numeric
DISCOUNT_PERCENT	numeric
PAYCODE	sysname
MASTER_CLIENT_MNEMONIC	sysname
INSTITUTIONAL_RETAIL_INDICATOR	sysname
STATE_CODE	sysname
COMMISSION_INDICATOR	sysname
FIRM_TRADING_ACCOUNT	sysname
POSTED_DATE	sysname
SETTLEMENT_DATE	sysname
NOT_USED_2	sysname
RECYCLE_INDICATOR	sysname
IBD_3	sysname
RECORD_ID_3	sysname
AS_OF_TRADE_INDICATOR	sysname
DISTRIBUTION_INDICATOR	sysname
EXPLODE_INDICATOR	sysname
REVENUE_TYPE	sysname
IP	sysname
IP_CAPS_REVENUE_CENTER	sysname
IP_CAPS_OFFICE_NUMBER	sysname
IP_SPLIT_PERCENT	numeric
TOTAL_AMT_OF_REV_GEN_BY_TR_AND_CRED_TO_IP	numeric
PERSHING_CHARGE	numeric
FROM_IP_NUMBER	sysname
CAPS_REV_CENTER_ASSOC_W_THE_FROM_IP	sysname
CAPS_OFFICE_NO_ASSOC_W_THE_FROM_IP	sysname
TOTAL_ORDER_COMMISSION	numeric
SPREAD_STRADDLE	sysname
CORRECTION_CODE	sysname
SECURITY_MODIFIER	sysname
SECURITY_CALCULATION_CODE	sysname
PRINCIPAL	numeric
CRD_NUMBER	sysname
SOURCE_OF_INPUT	sysname
FOR_PERS_INT_USE_ONLY_3	sysname
SERVICE_CHARGE_OTHER_FEE	numeric
IBD_4	sysname
RECORD_ID_4	sysname
CURRENCY_CODE	sysname
CURRENCY_AMOUNT_OF_REVENUE	numeric
FOREIGN_EXCHANGE_RATE	numeric
CURRENCY_MULTI_DIV_INDICATOR	sysname
IBD_SETTLEMENT_FEE	numeric
CUSTOMER_SETTLEMENT_FEE	numeric
GLOSS_REFERENCE_NUMBER	sysname
CURRENCY_AMOUNT_OF_PERSHING_CHARGE	numeric
NOT_USED_4	sysname
IBD_5	sysname
RECORD_ID_5	sysname
OPTION_ROOT_ID	sysname
EXPIRATION_DATE	sysname
CALL_PUT_INDICATOR	sysname
STRIKE_PRICE	numeric
MASTER_CLIENT_NAME	sysname
FOR_PERS_INT_USE_ONLY_5	sysname
PERS_INT_ORDER_REF_NO	sysname
NOT_USED_5	sysname
AS_OF_DATE	data
IMPORTED_DATE	datetime
LOADED_AT	datetime
