PERSHINGID	int
ACCTNO	sysname
INVACC	sysname
INVACT	nchar
BRANCH	sysname
GLPROD	sysname
CFNA1	sysname
CFNATITLE	sysname
CFNA2	sysname
CFNA3	sysname
CFNA4	sysname
CFCITY	sysname
CFSTAT	sysname
CFZIP	sysname
CFCOUNTRY	sysname
INVAMT	numeric
TEST1	nchar
TEST2	nchar
INVCIF	sysname
INVTAXID	sysname
OFFICR	sysname
CBAL	numeric
INVDT6	datetime
CFHPHO	sysname
CFBPHO	sysname
CFFAX	sysname
CLASS	nchar
MMAMOUNT	numeric
CREATEDATE	datetime
ACCTSTATUS	char
ACCTDATECLOSED	varchar
IP	varchar
RISKFACTORCODE	varchar
INVESTOBJCODE	varchar
NAMEINVESTPRO	varchar
LOADED_AT	datetime
